Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
RITES,4900,-,5-Jul-24,Long,10,-
KSB,740,-,5-Jul-24,Long,5,-
BBOX,-,-,1-Jan-25,Long,9,Mdcp-SS2
EIHOTEL,-,-,1-Jan-25,Long,9,Mdcp-SS2
HPL,-,-,1-Jan-25,Long,9,Mdcp-1wk-1d-SS2
LINCOLN,-,-,1-Jan-25,Long,9,Mdcp-SS2
LTFOODS,-,-,1-Jan-25,Long,9,Mdcp-Basic
NH,-,-,1-Jan-25,Long,9,Mdcp-SS2
POLYPLEX,-,-,1-Jan-25,Long,9,Mdcp-SS2
RPOWER,-,-,1-Jan-25,Long,9,Mdcp-SS2
SYRMA,-,-,1-Jan-25,Long,9,Mdcp-SS2
ASKAUTOLTD,-,-,2-Jan-25,Long,9,Mdcp-SS2
BRIGADE,-,-,2-Jan-25,Long,9,Mdcp-1w-1d-SS2
CAPACITE,-,-,2-Jan-25,Long,9,Mdcp-SS2
GOLDIAM,-,-,2-Jan-25,Long,9,Mdcp-SS2
HIMATSEIDE,-,-,2-Jan-25,Long,9,Mdcp-SS2
JISLJALEQS,-,-,2-Jan-25,Long,9,Mdcp-SS2
PCBL,-,-,2-Jan-25,Long,9,Mdcp-SS2
PDSL,-,-,2-Jan-25,Long,9,Mdcp-SS2
SIYSIL,-,-,2-Jan-25,Long,9,Mdcp-SS2
ZENSARTECH,-,-,2-Jan-25,Long,9,Mdcp-SS2
KESORAMIND,-,-,2-Jan-25,Long,9,Penny-1w-1d-SS2
OPTIEMUS,-,-,2-Jan-25,Long,9,Penny-SS2
DMART,-,-,1-Jan-25,Long,1000,Penny-SS2
PTCIL,-,-,1-Jan-25,Long,1000,Penny-SS2
PGEL,-,-,1-Jan-25,Long,1000,Penny-SS2
ARKADE,-,-,1-Jan-25,Long,1000,Penny-SS2
