Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
ABB,4620,-,18-Feb-24,All,0,Manual-Resistance-Support
TATAMOTORS,-,-,2-May-25,Long,6,_
MPHASIS,-,-,2-May-25,Long,6,_
BHARATFORG,-,-,2-May-25,Long,6,_
LUPIN,-,-,5-May-25,Long,6,_
PRESTIGE,-,-,12-May-25,Long,6,_
NTPC,-,-,13-May-25,Short,6,_
ASTRAL,-,-,14-May-25,Short,6,_
MGL,-,-,16-May-25,Long,6,_
INDHOTEL,-,-,20-May-25,Short,6,_
INFY,-,-,23-May-25,Long,6,_
ASIANPAINT,-,-,28-May-25,Short,6,_
JINDALSTEL,-,-,29-May-25,Long,6,_
CIPLA,-,-,30-May-25,Long,6,_
TORNTPHARM,-,-,30-May-25,Long,6,_
